Sr.No.,Merit (Score),Institute Code,Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type
624.0,33695 (53.2188173),3216,321624510,Computer Engineering,JEE,AI to AI,AI
625.0,33775 (53.0793850),4174,417461210,Mechanical Engineering,JEE,AI to AI,AI
626.0,33788 (53.0793850),3439,343937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
627.0,33862 (52.9664503),6178,617837220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
628.0,33880 (52.9664503),3208,320861210,Mechanical Engineering,JEE,AI to AI,AI
629.0,33917 (52.8740068),1268,126824210,Computer Science and Engineering,JEE,AI to AI,AI
630.0,33987 (52.8740068),5121,512161220,Mechanical Engineering,JEE,AI to AI,AI
631.0,34055 (52.7710985),6758,675824510,Computer Engineering,JEE,AI to AI,AI
632.0,34075 (52.7710985),5170,517024210,Computer Science and Engineering,JEE,AI to AI,AI
633.0,34084 (52.7710985),4138,413829310,Electrical Engineering,JEE,AI to AI,AI
634.0,34110 (52.3324020),6176,617619110,Civil Engineering,JEE,AI to AI,AI
635.0,34299 (52.3027847),4167,416735610,Electrical Engg[Electronics and Power],JEE,AI to AI,AI
636.0,34382 (52.3027847),6207,620746610,Instrumentation Engineering,JEE,AI to AI,AI
637.0,34394 (52.3027847),1117,111719110,Civil Engineering,JEE,AI to AI,AI
638.0,34410 (52.3027847),4649,464919110,Civil Engineering,JEE,AI to AI,AI
639.0,34506 (52.0562632),5177,517724610,Information Technology,JEE,AI to AI,AI
640.0,34619 (51.8402041),3194,319446610,Instrumentation Engineering,JEE,AI to AI,AI
641.0,34819 (51.8101657),1120,112037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
642.0,34877 (51.8101657),6141,614161210,Mechanical Engineering,JEE,AI to AI,AI
643.0,35021 (51.6183121),5173,517399510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
644.0,35148 (51.4351083),4177,417719110,Civil Engineering,JEE,AI to AI,AI
645.0,35279 (50.7704716),3190,319037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
646.0,35319 (50.7704716),5390,539061210,Mechanical Engineering,JEE,AI to AI,AI
647.0,35330 (50.7704716),5170,517019110,Civil Engineering,JEE,AI to AI,AI
648.0,35344 (50.7344940),6794,679499510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
649.0,35375 (50.6740377),5390,539024510,Computer Engineering,JEE,AI to AI,AI
650.0,35441 (50.4963250),6320,632024510,Computer Engineering,JEE,AI to AI,AI
651.0,35875 (50.1932767),1125,112519110,Civil Engineering,JEE,AI to AI,AI
652.0,35881 (50.1932767),4142,414229310,Electrical Engineering,JEE,AI to AI,AI
653.0,35899 (50.1760245),6149,614924510,Computer Engineering,JEE,AI to AI,AI
654.0,35998 (50.1760245),3154,315491210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
655.0,36006 (50.1760245),6759,675924510,Computer Engineering,JEE,AI to AI,AI
656.0,36181 (50.0065467),5182,518224510,Computer Engineering,JEE,AI to AI,AI
657.0,36188 (50.0065467),5449,544919110,Civil Engineering,JEE,AI to AI,AI
658.0,36227 (49.6510469),1265,126537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
659.0,36351 (49.6417427),6222,622229310,Electrical Engineering,JEE,AI to AI,AI
660.0,36447 (49.4031236),2126,212661210,Mechanical Engineering,JEE,AI to AI,AI
661.0,36449 (49.4031236),6203,620362410,Mechatronics Engineering,JEE,AI to AI,AI
662.0,36520 (49.0629492),6122,612261220,Mechanical Engineering,JEE,AI to AI,AI
663.0,36530 (49.0629492),5170,517099410,Robotics,JEE,AI to AI,AI
664.0,36606 (48.8733653),5152,515299710,Artificial Intelligence,JEE,AI to AI,AI
665.0,36654 (48.8733653),5108,510837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
666.0,36690 (48.7595338),6794,679437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
667.0,36722 (48.6407358),4139,413924210,Computer Science and Engineering,JEE,AI to AI,AI
668.0,36791 (48.6407358),2112,211224210,Computer Science and Engineering,JEE,AI to AI,AI
669.0,37175 (48.0636197),4138,413837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
670.0,37285 (47.8236972),5139,513961210,Mechanical Engineering,JEE,AI to AI,AI
671.0,37319 (47.8236972),4193,419324210,Computer Science and Engineering,JEE,AI to AI,AI
672.0,37351 (47.8236972),5108,510819110,Civil Engineering,JEE,AI to AI,AI
673.0,37370 (47.8236972),6222,622289010,Textile Chemistry,JEE,AI to AI,AI
674.0,37658 (47.3984733),5396,539619110,Civil Engineering,JEE,AI to AI,AI
675.0,37665 (47.3984733),5124,512424510,Computer Engineering,JEE,AI to AI,AI
676.0,37715 (47.3984733),6182,618219110,Civil Engineering,JEE,AI to AI,AI
677.0,37870 (47.2243758),5162,516260610,Production Engineering,JEE,AI to AI,AI
678.0,37932 (47.2195101),3423,342390010,Electronics and Computer Science,JEE,AI to AI,AI
679.0,37950 (47.2195101),6622,662261210,Mechanical Engineering,JEE,AI to AI,AI
680.0,37952 (47.2195101),6187,618761210,Mechanical Engineering,JEE,AI to AI,AI
681.0,38001 (47.1462961),6802,680219110,Civil Engineering,JEE,AI to AI,AI
682.0,38183 (47.0407952),5449,544929310,Electrical Engineering,JEE,AI to AI,AI
683.0,38225 (47.0407952),6732,673219110,Civil Engineering,JEE,AI to AI,AI
684.0,38391 (47.0339246),3219,321924610,Information Technology,JEE,AI to AI,AI
685.0,38393 (47.0339246),6632,663219110,Civil Engineering,JEE,AI to AI,AI
686.0,38472 (46.6043774),2129,212924610,Information Technology,JEE,AI to AI,AI
687.0,38526 (46.2177230),5162,516261210,Mechanical Engineering,JEE,AI to AI,AI
688.0,38580 (46.2177230),3423,342337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
689.0,38636 (46.0804821),3148,314890010,Electronics and Computer Science,JEE,AI to AI,AI
690.0,38797 (45.7902205),4151,415124210,Computer Science and Engineering,JEE,AI to AI,AI
691.0,38805 (45.7902205),1127,112724510,Computer Engineering,JEE,AI to AI,AI
692.0,38861 (45.7804866),6183,618324510,Computer Engineering,JEE,AI to AI,AI
693.0,38904 (45.7804866),3206,320661210,Mechanical Engineering,JEE,AI to AI,AI
694.0,38922 (45.7804866),5184,518424510,Computer Engineering,JEE,AI to AI,AI
695.0,38998 (45.5906789),6796,679619110,Civil Engineering,JEE,AI to AI,AI
696.0,39097 (45.3472919),3471,347119110,Civil Engineering,JEE,AI to AI,AI
697.0,39109 (45.2455746),6160,616037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
698.0,39193 (45.0374181),6206,620661210,Mechanical Engineering,JEE,AI to AI,AI
699.0,39209 (45.0374181),5449,544961210,Mechanical Engineering,JEE,AI to AI,AI
700.0,39225 (45.0374181),3147,314724510,Computer Engineering,JEE,AI to AI,AI
701.0,39242 (45.0374181),6769,676919110,Civil Engineering,JEE,AI to AI,AI
702.0,39295 (44.9736417),5382,538224510,Computer Engineering,JEE,AI to AI,AI
703.0,39330 (44.9736417),6803,680324210,Computer Science and Engineering,JEE,AI to AI,AI
704.0,39374 (44.6527699),6267,626761210,Mechanical Engineering,JEE,AI to AI,AI
705.0,39575 (44.4346883),6277,627737010,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
706.0,39607 (44.4346883),6649,664937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
707.0,39683 (44.4053173),1265,126535610,Electrical Engg[Electronics and Power],JEE,AI to AI,AI
708.0,39700 (44.4053173),3146,314692010,"Computer Science and Engineering
(Internet of Things and Cyber Security
Including Block Chain Technology)",JEE,AI to AI,AI
709.0,39763 (44.3219926),3188,318837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
710.0,39766 (44.3219926),1123,112324210,Computer Science and Engineering,JEE,AI to AI,AI
711.0,39773 (44.3219926),1114,111419110,Civil Engineering,JEE,AI to AI,AI
712.0,39849 (44.3133247),5103,510319110,Civil Engineering,JEE,AI to AI,AI
713.0,40137 (43.9085319),4193,419329310,Electrical Engineering,JEE,AI to AI,AI
714.0,40384 (43.1388868),3219,321924510,Computer Engineering,JEE,AI to AI,AI
715.0,40385 (43.1388868),5401,540124510,Computer Engineering,JEE,AI to AI,AI
716.0,40448 (43.1388868),6311,631137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
717.0,40459 (43.1388868),6149,614924610,Information Technology,JEE,AI to AI,AI
718.0,40540 (42.8699409),5411,541129310,Electrical Engineering,JEE,AI to AI,AI
719.0,40743 (42.4413035),2114,211461210,Mechanical Engineering,JEE,AI to AI,AI
720.0,40746 (42.4413035),5399,539924510,Computer Engineering,JEE,AI to AI,AI
721.0,40820 (42.4413035),2127,212719110,Civil Engineering,JEE,AI to AI,AI
722.0,41323 (42.1318504),6269,626950710,Chemical Engineering,JEE,AI to AI,AI
723.0,41437 (41.7292723),3198,319824510,Computer Engineering,JEE,AI to AI,AI
724.0,41526 (41.5159598),6313,631324510,Computer Engineering,JEE,AI to AI,AI
725.0,41619 (41.2725431),5411,541124510,Computer Engineering,JEE,AI to AI,AI
726.0,41659 (41.2725431),5125,512537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
727.0,41797 (41.1445071),5109,510961210,Mechanical Engineering,JEE,AI to AI,AI
728.0,41816 (41.1445071),3217,321724510,Computer Engineering,JEE,AI to AI,AI
729.0,41905 (40.8759878),5408,540824510,Computer Engineering,JEE,AI to AI,AI
730.0,41965 (40.7696398),6277,627724610,Information Technology,JEE,AI to AI,AI
731.0,42015 (40.7696398),6283,628319110,Civil Engineering,JEE,AI to AI,AI
732.0,42178 (40.6861324),4179,417919110,Civil Engineering,JEE,AI to AI,AI
733.0,42244 (40.6057647),4139,413937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
734.0,42270 (40.6057647),3189,318961210,Mechanical Engineering,JEE,AI to AI,AI
735.0,42308 (40.4856981),4163,416324210,Computer Science and Engineering,JEE,AI to AI,AI
736.0,42337 (40.3677687),6839,683991210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
737.0,42347 (40.3677687),6284,628461210,Mechanical Engineering,JEE,AI to AI,AI
738.0,42392 (40.1103087),1105,110519110,Civil Engineering,JEE,AI to AI,AI
739.0,42478 (39.9073588),4136,413619110,Civil Engineering,JEE,AI to AI,AI
740.0,42539 (39.9073588),4145,414529310,Electrical Engineering,JEE,AI to AI,AI
741.0,42645 (39.6393106),3475,347561210,Mechanical Engineering,JEE,AI to AI,AI
742.0,42735 (39.6393106),4133,413319110,Civil Engineering,JEE,AI to AI,AI
743.0,42797 (39.3730397),3216,321661210,Mechanical Engineering,JEE,AI to AI,AI
744.0,42809 (39.3730397),6298,629821910,Robotics and Automation,JEE,AI to AI,AI
745.0,42817 (39.3730397),3203,320337610,Electronics Engineering,JEE,AI to AI,AI
746.0,43076 (39.0696101),5104,510408210,Bio Technology,JEE,AI to AI,AI
747.0,43241 (39.0066957),4144,414424610,Information Technology,JEE,AI to AI,AI
748.0,43704 (38.2578264),2252,225229710,Electrical and Electronics Engineering,JEE,AI to AI,AI
749.0,43868 (37.7559600),6284,628419110,Civil Engineering,JEE,AI to AI,AI
750.0,43902 (37.3316025),5170,517029310,Electrical Engineering,JEE,AI to AI,AI
751.0,44161 (37.2476388),6732,673237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
752.0,44335 (37.1005644),1120,112061210,Mechanical Engineering,JEE,AI to AI,AI
753.0,44368 (36.9338201),1180,118024210,Computer Science and Engineering,JEE,AI to AI,AI
754.0,44474 (36.7327018),6207,620761210,Mechanical Engineering,JEE,AI to AI,AI
755.0,44525 (36.6680582),2138,213829310,Electrical Engineering,JEE,AI to AI,AI
756.0,44633 (36.6206866),6139,613929320,Electrical Engineering,JEE,AI to AI,AI
757.0,44778 (35.6771064),2134,213424210,Computer Science and Engineering,JEE,AI to AI,AI
758.0,44944 (35.4309860),3198,319824610,Information Technology,JEE,AI to AI,AI
759.0,44999 (35.2427212),6267,626792210,Civil and Environmental Engineering,JEE,AI to AI,AI
760.0,45334 (34.7484478),5104,510429310,Electrical Engineering,JEE,AI to AI,AI
761.0,45457 (34.4909229),2111,211161210,Mechanical Engineering,JEE,AI to AI,AI
762.0,45486 (34.4909229),6155,615561210,Mechanical Engineering,JEE,AI to AI,AI
763.0,45513 (34.4909229),5124,512429310,Electrical Engineering,JEE,AI to AI,AI
764.0,45605 (34.3267209),6802,680261210,Mechanical Engineering,JEE,AI to AI,AI
765.0,45609 (34.3267209),3471,347162410,Mechatronics Engineering,JEE,AI to AI,AI
766.0,45737 (33.7253645),4195,419561210,Mechanical Engineering,JEE,AI to AI,AI
767.0,45857 (33.5809745),1116,111624210,Computer Science and Engineering,JEE,AI to AI,AI
768.0,45867 (33.5809745),1128,112837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
769.0,45920 (33.5809745),6757,675724210,Computer Science and Engineering,JEE,AI to AI,AI
770.0,45950 (33.2778596),6217,621724210,Computer Science and Engineering,JEE,AI to AI,AI
771.0,46013 (33.2540180),4151,415124610,Information Technology,JEE,AI to AI,AI
772.0,46049 (33.2540180),6315,631524210,Computer Science and Engineering,JEE,AI to AI,AI
773.0,46078 (33.2540180),2116,211629310,Electrical Engineering,JEE,AI to AI,AI
774.0,46130 (33.0741999),6732,673261210,Mechanical Engineering,JEE,AI to AI,AI
775.0,46168 (33.0320404),5161,516161210,Mechanical Engineering,JEE,AI to AI,AI
776.0,46206 (32.7673615),2133,213324210,Computer Science and Engineering,JEE,AI to AI,AI
777.0,46266 (32.6665943),6644,664424510,Computer Engineering,JEE,AI to AI,AI
778.0,46368 (32.6278647),5164,516446610,Instrumentation Engineering,JEE,AI to AI,AI
779.0,46485 (32.3065098),6222,622219110,Civil Engineering,JEE,AI to AI,AI
780.0,46572 (32.0485446),5162,516237610,Electronics Engineering,JEE,AI to AI,AI
781.0,46791 (31.7643216),6322,632224510,Computer Engineering,JEE,AI to AI,AI
782.0,46796 (31.7643216),5125,512561210,Mechanical Engineering,JEE,AI to AI,AI
783.0,46860 (31.7643216),6275,627537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
784.0,46959 (31.6266886),2127,212737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
785.0,46976 (31.6266886),3206,320624510,Computer Engineering,JEE,AI to AI,AI
786.0,46996 (31.6266886),4139,413929310,Electrical Engineering,JEE,AI to AI,AI
787.0,47060 (31.5668267),6220,622037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
788.0,47102 (31.5668267),4138,413861210,Mechanical Engineering,JEE,AI to AI,AI
789.0,47150 (31.5668267),6310,631037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
790.0,47468 (30.4835081),3222,322224610,Information Technology,JEE,AI to AI,AI
791.0,47519 (30.4342956),5160,516019110,Civil Engineering,JEE,AI to AI,AI
792.0,47663 (30.3863939),3198,319861210,Mechanical Engineering,JEE,AI to AI,AI
793.0,47685 (30.3863939),5106,510624510,Computer Engineering,JEE,AI to AI,AI
794.0,47692 (30.3863939),5418,541829310,Electrical Engineering,JEE,AI to AI,AI
795.0,47695 (30.3863939),5125,512529310,Electrical Engineering,JEE,AI to AI,AI
796.0,47764 (30.0602099),6274,627484310,Printing Technology,JEE,AI to AI,AI
797.0,47787 (30.0602099),1276,127661210,Mechanical Engineering,JEE,AI to AI,AI
798.0,47818 (29.8564768),4172,417237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
799.0,47937 (29.2236623),4141,414124510,Computer Engineering,JEE,AI to AI,AI
800.0,48019 (29.1868408),5184,518461210,Mechanical Engineering,JEE,AI to AI,AI
801.0,48075 (29.1226617),3423,342319110,Civil Engineering,JEE,AI to AI,AI
802.0,48118 (29.0078620),5179,517924510,Computer Engineering,JEE,AI to AI,AI
803.0,48190 (29.0025088),6649,664919110,Civil Engineering,JEE,AI to AI,AI
804.0,48267 (29.0025088),3154,315461210,Mechanical Engineering,JEE,AI to AI,AI
805.0,48314 (28.8380421),4136,413637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
806.0,48332 (28.8380421),1121,112124610,Information Technology,JEE,AI to AI,AI
807.0,48572 (27.8187043),4188,418829310,Electrical Engineering,JEE,AI to AI,AI
808.0,48665 (27.5436573),6545,654561210,Mechanical Engineering,JEE,AI to AI,AI
809.0,48810 (27.3652240),4137,413729310,Electrical Engineering,JEE,AI to AI,AI
810.0,48867 (27.3652240),2111,211124210,Computer Science and Engineering,JEE,AI to AI,AI
811.0,48896 (27.3652240),3219,321991110,"Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",JEE,AI to AI,AI
812.0,48907 (27.3652240),3202,320224510,Computer Engineering,JEE,AI to AI,AI
813.0,48980 (27.1112503),6145,614529310,Electrical Engineering,JEE,AI to AI,AI
814.0,49218 (26.2649485),6178,617861220,Mechanical Engineering,JEE,AI to AI,AI
815.0,49222 (26.2649485),6298,629819110,Civil Engineering,JEE,AI to AI,AI
816.0,49243 (26.2649485),3465,346524510,Computer Engineering,JEE,AI to AI,AI
817.0,49263 (26.0849642),6187,618737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
818.0,49320 (25.9994074),1119,111924210,Computer Science and Engineering,JEE,AI to AI,AI
819.0,49363 (25.9994074),3475,347519110,Civil Engineering,JEE,AI to AI,AI
820.0,49402 (25.8496658),6178,617861210,Mechanical Engineering,JEE,AI to AI,AI
821.0,49614 (25.1627968),1105,110519120,Civil Engineering,JEE,AI to AI,AI
822.0,49751 (24.8403201),6207,620761220,Mechanical Engineering,JEE,AI to AI,AI
,,,,Computer Science and,,,
823.0,49900 (24.5298782),3351,335191110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
824.0,49947 (24.4951420),4163,416337010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
825.0,49963 (24.4474919),6156,615629310,Electrical Engineering,JEE,AI to AI,AI
826.0,50027 (24.3984801),4195,419524210,Computer Science and Engineering,JEE,AI to AI,AI
827.0,50040 (24.3984801),2127,212761210,Mechanical Engineering,JEE,AI to AI,AI
828.0,50077 (24.3984801),6759,675999510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
829.0,50166 (23.9631532),4190,419061210,Mechanical Engineering,JEE,AI to AI,AI
,,,,Computer Science and,,,
830.0,50173 (23.9631532),3206,320691110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
831.0,50175 (23.9631532),4145,414561210,Mechanical Engineering,JEE,AI to AI,AI
832.0,50263 (23.7707141),4118,411824510,Computer Engineering,JEE,AI to AI,AI
833.0,50313 (23.6800095),1265,126561210,Mechanical Engineering,JEE,AI to AI,AI
834.0,50367 (23.4733236),3439,343919110,Civil Engineering,JEE,AI to AI,AI
835.0,50557 (22.9334785),3353,335324510,Computer Engineering,JEE,AI to AI,AI
836.0,50620 (22.7953366),3192,319229310,Electrical Engineering,JEE,AI to AI,AI
837.0,50639 (22.7953366),3187,318737610,Electronics Engineering,JEE,AI to AI,AI
838.0,50674 (22.7914682),6767,676724510,Computer Engineering,JEE,AI to AI,AI
839.0,50681 (22.7914682),4613,461324510,Computer Engineering,JEE,AI to AI,AI
840.0,50821 (22.3648508),4163,416319110,Civil Engineering,JEE,AI to AI,AI
841.0,50899 (22.3648508),6277,627719110,Civil Engineering,JEE,AI to AI,AI
842.0,50934 (21.7803754),5399,539919110,Civil Engineering,JEE,AI to AI,AI
843.0,50938 (21.7803754),1268,126861210,Mechanical Engineering,JEE,AI to AI,AI
844.0,51064 (21.5881766),3503,350324510,Computer Engineering,JEE,AI to AI,AI
845.0,51273 (21.4595949),6278,627862510,Mechanical Engineering[Sandwich],JEE,AI to AI,AI
846.0,51448 (21.2720091),1123,112337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
847.0,51476 (21.2197142),3436,343624510,Computer Engineering,JEE,AI to AI,AI
848.0,51524 (21.1611442),5152,515219110,Civil Engineering,JEE,AI to AI,AI
849.0,51597 (20.2468881),5107,510724510,Computer Engineering,JEE,AI to AI,AI
850.0,51749 (19.8018924),4151,415108210,Bio Technology,JEE,AI to AI,AI
851.0,51800 (19.8018924),5409,540924510,Computer Engineering,JEE,AI to AI,AI
852.0,51869 (19.2492929),4172,417229310,Electrical Engineering,JEE,AI to AI,AI
853.0,51911 (19.2492929),4104,410429310,Electrical Engineering,JEE,AI to AI,AI
854.0,51956 (19.1549917),4139,413961210,Mechanical Engineering,JEE,AI to AI,AI
855.0,52042 (18.9039932),6643,664337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
856.0,52053 (18.7060250),6272,627246610,Instrumentation Engineering,JEE,AI to AI,AI
857.0,52076 (18.6441397),1128,112829310,Electrical Engineering,JEE,AI to AI,AI
858.0,52095 (18.6441397),6288,628837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
859.0,52125 (18.5776005),1120,112089310,Textile Engineering / Technology,JEE,AI to AI,AI
860.0,52147 (18.4600300),1120,112019110,Civil Engineering,JEE,AI to AI,AI
861.0,52154 (18.4600300),4179,417929310,Electrical Engineering,JEE,AI to AI,AI
862.0,52354 (18.1818182),4136,413629310,Electrical Engineering,JEE,AI to AI,AI
863.0,52423 (17.5410548),5109,510919110,Civil Engineering,JEE,AI to AI,AI
864.0,52738 (16.2968272),5161,516137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
865.0,52747 (16.2968272),4135,413524210,Computer Science and Engineering,JEE,AI to AI,AI
866.0,52754 (16.2220645),6283,628329310,Electrical Engineering,JEE,AI to AI,AI
867.0,52877 (16.0565984),3219,321961210,Mechanical Engineering,JEE,AI to AI,AI
868.0,52897 (16.0565984),3146,314699510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
869.0,52903 (16.0565984),3175,317537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
870.0,52912 (16.0440633),1116,111661210,Mechanical Engineering,JEE,AI to AI,AI
871.0,53029 (15.5689793),1107,110729310,Electrical Engineering,JEE,AI to AI,AI
872.0,53090 (15.2992116),5162,516219110,Civil Engineering,JEE,AI to AI,AI
873.0,53128 (15.1398735),5151,515119110,Civil Engineering,JEE,AI to AI,AI
874.0,53218 (14.6569278),5164,516419110,Civil Engineering,JEE,AI to AI,AI
875.0,53383 (14.3059295),6206,620637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
876.0,53439 (14.2266750),1123,112319110,Civil Engineering,JEE,AI to AI,AI
877.0,53451 (14.2187036),4171,417129310,Electrical Engineering,JEE,AI to AI,AI
878.0,53474 (14.2187036),4143,414361210,Mechanical Engineering,JEE,AI to AI,AI
879.0,53484 (14.2187036),6303,630337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
880.0,53549 (13.7370702),5303,530324510,Computer Engineering,JEE,AI to AI,AI
881.0,53584 (13.7370702),2111,211119110,Civil Engineering,JEE,AI to AI,AI
882.0,53587 (13.7370702),4193,419337010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
883.0,53638 (13.4009735),1116,111650710,Chemical Engineering,JEE,AI to AI,AI
884.0,53645 (13.4009735),6628,662824510,Computer Engineering,JEE,AI to AI,AI
885.0,53669 (13.4009735),6545,654524210,Computer Science and Engineering,JEE,AI to AI,AI
886.0,53670 (13.4009735),5103,510337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
887.0,53706 (13.3733173),6219,621946110,Bio Medical Engineering,JEE,AI to AI,AI
888.0,53896 (12.2848547),6834,683419110,Civil Engineering,JEE,AI to AI,AI
889.0,53991 (11.8326776),1125,112524210,Computer Science and Engineering,JEE,AI to AI,AI
890.0,54033 (11.7399784),2130,213019110,Civil Engineering,JEE,AI to AI,AI
891.0,54035 (11.7399784),4193,419361210,Mechanical Engineering,JEE,AI to AI,AI
892.0,54089 (11.4941170),6122,612261210,Mechanical Engineering,JEE,AI to AI,AI
893.0,54091 (11.4550268),6139,613961210,Mechanical Engineering,JEE,AI to AI,AI
894.0,54128 (11.2974404),4188,418861210,Mechanical Engineering,JEE,AI to AI,AI
895.0,54153 (10.9604270),1130,113024210,Computer Science and Engineering,JEE,AI to AI,AI
896.0,54188 (10.9604270),5390,539092110,"Artificial Intelligence and Machine
Learning",JEE,AI to AI,AI
897.0,54248 (10.9183886),6317,631762410,Mechatronics Engineering,JEE,AI to AI,AI
898.0,54283 (10.7247877),5181,518119110,Civil Engineering,JEE,AI to AI,AI
899.0,54309 (10.6967535),3146,314637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
900.0,54353 (10.5202225),2129,212937610,Electronics Engineering,JEE,AI to AI,AI
901.0,54383 (10.4231617),4139,413937610,Electronics Engineering,JEE,AI to AI,AI
902.0,54501 (9.7274695),1276,127624510,Computer Engineering,JEE,AI to AI,AI
903.0,54532 (9.5258113),2112,211219110,Civil Engineering,JEE,AI to AI,AI
904.0,54539 (9.2436574),4171,417137010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
905.0,54563 (9.1547718),4304,430437210F,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
906.0,54632 (8.9638987),4118,411861210,Mechanical Engineering,JEE,AI to AI,AI
907.0,54638 (8.9581697),3460,346019110,Civil Engineering,JEE,AI to AI,AI
908.0,54739 (8.3658708),4188,418870110,Mining Engineering,JEE,AI to AI,AI
909.0,54810 (8.1375507),4123,412361210,Mechanical Engineering,JEE,AI to AI,AI
910.0,54854 (8.0254644),6275,627561210,Mechanical Engineering,JEE,AI to AI,AI
911.0,54950 (7.4849748),3175,317561210,Mechanical Engineering,JEE,AI to AI,AI
912.0,55060 (6.8282551),5151,515161210,Mechanical Engineering,JEE,AI to AI,AI
913.0,55072 (6.7704666),4177,417761210,Mechanical Engineering,JEE,AI to AI,AI
914.0,55133 (6.5101056),6185,618537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
915.0,55227 (5.8147644),4188,418819110,Civil Engineering,JEE,AI to AI,AI
916.0,55235 (5.8147644),6780,678037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
917.0,55282 (5.6070960),6769,676961210,Mechanical Engineering,JEE,AI to AI,AI
918.0,55323 (5.4054919),6176,617661210,Mechanical Engineering,JEE,AI to AI,AI
919.0,55354 (5.0358728),5164,516437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
920.0,55397 (4.6029236),1121,112137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
921.0,55440 (4.3637586),4145,414537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
922.0,55453 (4.3628670),6293,629324210,Computer Science and Engineering,JEE,AI to AI,AI
923.0,55476 (4.3435656),5411,541137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
924.0,55507 (3.9555372),4151,415161210,Mechanical Engineering,JEE,AI to AI,AI
925.0,55517 (3.9552275),4304,430461210F,Mechanical Engineering,JEE,AI to AI,AI
926.0,55520 (3.9231374),6219,621924210,Computer Science and Engineering,JEE,AI to AI,AI
927.0,55561 (3.6439701),6317,631719110,Civil Engineering,JEE,AI to AI,AI
928.0,55571 (3.6439701),5106,510629310,Electrical Engineering,JEE,AI to AI,AI
929.0,55600 (3.3928460),4195,419529310,Electrical Engineering,JEE,AI to AI,AI
930.0,55602 (3.3928460),6185,618561210,Mechanical Engineering,JEE,AI to AI,AI
931.0,55603 (3.3928460),6268,626861210,Mechanical Engineering,JEE,AI to AI,AI
932.0,55682 (2.6045966),6632,663224510,Computer Engineering,JEE,AI to AI,AI
933.0,55735 (2.1034088),6319,631919110,Civil Engineering,JEE,AI to AI,AI
934.0,55737 (2.1034088),1126,112624210,Computer Science and Engineering,JEE,AI to AI,AI
